	103997-007_L001-Bifidobacterium_longum-scaffolds	103997-003_L001-Bifidobacterium_longum-scaffolds	103997-009_L001-Bifidobacterium_longum-scaffolds	103997-006_L001-Bifidobacterium_longum-scaffolds	103997-004_L001-Bifidobacterium_longum-scaffolds	103997-001_L002-Bifidobacterium_longum-scaffolds	103997-010_L001-Bifidobacterium_longum-scaffolds	103997-004_L002-Bifidobacterium_longum-scaffolds	103997-001_L001-Bifidobacterium_longum-scaffolds	NC_004307-REP	NC_004943-PLAS	103997-002_L001-Bifidobacterium_longum-scaffolds	103997-005_L001-Bifidobacterium_longum-scaffolds	NC_011593-REF	103997-008_L001-Bifidobacterium_longum-scaffolds	NZ_CP048001	NZ_CP008885	NZ_CP026999
103997-007_L001-Bifidobacterium_longum-scaffolds	1.0	0.988443272333537	0.0	0.9873193780969053	0.9880953685941354	0.986025884747038	0.9852177525444852	0.9890574587537554	0.986613722291735	0.9859460224517664	0.0	0.986919553550126	0.9874895844681233	0.9581477529170968	0.9958887709232194	0.9889928338606793	0.9685268472953812	0.9863199347401725
103997-003_L001-Bifidobacterium_longum-scaffolds	0.988443272333537	1.0	0.0	0.9890992909653091	0.995804385136553	0.9868863800417307	0.9882998927700862	0.9954705746976372	0.9898743548766603	0.989284302491406	0.0	0.9892364771395765	0.9893547345212036	0.9586238726506198	0.9829260127217945	0.9889633510160025	0.9719591942352647	0.988697247025662
103997-009_L001-Bifidobacterium_longum-scaffolds	0.0	0.0	1.0	0.0	0.0	0.0	0.9564564564564565	0.0	0.0	0.0	0.0	0.0	0.0	0.8118811881188119	0.0	0.0	0.9428399518652226	0.0
103997-006_L001-Bifidobacterium_longum-scaffolds	0.9873193780969053	0.9890992909653091	0.0	1.0	0.9894671595022969	0.9879536385782692	0.9873385289210515	0.9890346694997503	0.9890720568532649	0.989047349297357	0.0	0.9892705058790022	0.9943850778407234	0.9571073869661185	0.984124627784521	0.9889723004846378	0.9690092180976604	0.9890314658151812
103997-004_L001-Bifidobacterium_longum-scaffolds	0.9880953685941354	0.995804385136553	0.0	0.9894671595022969	1.0	0.9870439172585378	0.9884030971297137	0.9965357956761668	0.9898340147379244	0.989714606573256	0.0	0.9894263522140967	0.989484662689935	0.9584616336019858	0.9816363279787481	0.9893483254184973	0.9715880145053069	0.988870922529764
103997-001_L002-Bifidobacterium_longum-scaffolds	0.986025884747038	0.9868863800417307	0.0	0.9879536385782692	0.9870439172585378	1.0	0.9870178778949954	0.9869002587878336	0.996660068594022	0.9861089056645881	0.0	0.9964795749572709	0.986847072857652	0.9551673973562922	0.9854428283960366	0.9865276885278939	0.9675127991907073	0.9870885335548958
103997-010_L001-Bifidobacterium_longum-scaffolds	0.9852177525444852	0.9882998927700862	0.9564564564564565	0.9873385289210515	0.9884030971297137	0.9870178778949954	1.0	0.9875468731839508	0.9874459901749888	0.9880748777320285	0.0	0.9875191661799065	0.9869562997753727	0.9586781154310475	0.983731863752413	0.9875699966510643	0.9693591196881307	0.98663769520564
103997-004_L002-Bifidobacterium_longum-scaffolds	0.9890574587537554	0.9954705746976372	0.0	0.9890346694997503	0.9965357956761668	0.9869002587878336	0.9875468731839508	1.0	0.9893257549925435	0.9894133640177589	0.0	0.9893519508230444	0.9894128423739602	0.9584024545684271	0.9827244463006053	0.988925024081598	0.9709875309248988	0.9889647963939608
103997-001_L001-Bifidobacterium_longum-scaffolds	0.986613722291735	0.9898743548766603	0.0	0.9890720568532649	0.9898340147379244	0.996660068594022	0.9874459901749888	0.9893257549925435	1.0	0.98847013566548	0.0	0.9993428299334826	0.9886636822078704	0.9571058026945468	0.983474775911912	0.9891431684846277	0.9693434747977375	0.989411311355475
NC_004307-REP	0.9859460224517664	0.989284302491406	0.0	0.989047349297357	0.989714606573256	0.9861089056645881	0.9880748777320285	0.9894133640177589	0.98847013566548	1.0	0.0	0.9881885866995128	0.9887395953591852	0.9570666140036697	0.9806531324475778	0.9879768099336432	0.9699478828952259	0.9876513682333945
