	103997-007_L001-Bifidobacterium_longum-scaffolds	103997-003_L001-Bifidobacterium_longum-scaffolds	103997-009_L001-Bifidobacterium_longum-scaffolds	103997-006_L001-Bifidobacterium_longum-scaffolds	103997-004_L001-Bifidobacterium_longum-scaffolds	103997-001_L002-Bifidobacterium_longum-scaffolds	103997-010_L001-Bifidobacterium_longum-scaffolds	103997-004_L002-Bifidobacterium_longum-scaffolds	103997-001_L001-Bifidobacterium_longum-scaffolds	NC_004307-REP	NC_004943-PLAS	103997-002_L001-Bifidobacterium_longum-scaffolds	103997-005_L001-Bifidobacterium_longum-scaffolds	NC_011593-REF	103997-008_L001-Bifidobacterium_longum-scaffolds	NZ_CP048001	NZ_CP008885	NZ_CP026999
103997-007_L001-Bifidobacterium_longum-scaffolds	1.0	0.8739369040397061	0.0	0.6315311158320782	0.8546928469540003	0.8218144597446462	0.338293471870557	0.8435764527319018	0.8629774416365881	0.8936423875185332	0.0	0.8933613156039416	0.7955201821346006	0.6694547439083518	0.20737954311760284	0.7854250158688518	0.7301451970665461	0.8987204201088217
103997-003_L001-Bifidobacterium_longum-scaffolds	0.15026628734547118	1.0	0.0	0.5398863164067157	0.8597746625899304	0.7649208709352114	0.2707927243789045	0.8452251118793475	0.8061712454773036	0.8048506825526212	0.0	0.8221529162733303	0.7618641241836593	0.6614284471565409	0.06856899145882937	0.8044342561835691	0.734608333682369	0.8249748694338213
103997-009_L001-Bifidobacterium_longum-scaffolds	1.0	1.0	1.0	0.0	0.0	0.0	0.6201117318435754	0.0	0.0	0.0	0.0	0.0	0.0	0.12538795779019243	0.0	0.0	0.515828677839851	0.0
103997-006_L001-Bifidobacterium_longum-scaffolds	0.18442323279650613	0.9169416922882245	1.0	1.0	0.8993525925368592	0.8414908497693204	0.33904383423906537	0.8859003341347551	0.8806690903121441	0.8657551206065726	0.0	0.8958101485309357	0.9269171708328061	0.6798934325591576	0.07832980502535936	0.8900077634175453	0.7839444317144156	0.894559109703588
103997-004_L001-Bifidobacterium_longum-scaffolds	0.15521734895233608	0.9080993339988949	1.0	0.5592928996889273	1.0	0.7919321858847921	0.2822127043422149	0.900787231426983	0.8340033612701875	0.834825600611171	0.0	0.8501640012301688	0.7834800929177246	0.694719079568352	0.07157565814240266	0.8257660799260877	0.7631563611676735	0.8452292890756167
103997-001_L002-Bifidobacterium_longum-scaffolds	0.16638419311516955	0.9006858084781899	1.0	0.5834005136687481	0.8828686350979157	1.0	0.29339486103629064	0.8724264399037914	0.9508614573928086	0.8839692860990767	0.0	0.9660946379659628	0.8101668664688878	0.7171398059136399	0.0744686904861264	0.8730097232865695	0.800657450473076	0.8869478250643035
103997-010_L001-Bifidobacterium_longum-scaffolds	0.19579029846396187	0.9114924282578961	0.002708502501772456	0.6719431404259588	0.8993814365908114	0.8387098960656222	1.0	0.8864204794239213	0.879729203974097	0.8695119950872807	0.0	0.8911867931357491	0.8497160681436455	0.6782318006390331	0.08707876211404178	0.8702928246373413	0.7844951110038676	0.8671952629673964
103997-004_L002-Bifidobacterium_longum-scaffolds	0.15605268859136012	0.9093639239135145	1.0	0.5611911261319814	0.9175692187703107	0.7971450236145413	0.2833277005069544	1.0	0.8437557953117553	0.8510247411066337	0.0	0.8593821222756619	0.7937267645911867	0.7013011828935396	0.06536201741843234	0.8465592096711296	0.7781459335326487	0.8622535638459206
103997-001_L001-Bifidobacterium_longum-scaffolds	0.1627250439344413	0.8840987576457411	1.0	0.5686523399975886	0.8659494940527849	0.8855924624001124	0.2866199475392517	0.8600524077487148	1.0	0.8695848233943667	0.0	0.9711386385026912	0.7956804461151089	0.7085173412408703	0.07593028612263483	0.8584434289136544	0.7895947696483787	0.8699213707104019
NC_004307-REP	0.16906950155984118	0.8855953984685195	1.0	0.5608874255530346	0.8696952105785593	0.826038712422008	0.28423629821327284	0.8703559273964833	0.8724860855076574	1.0	0.0	0.8864674914917754	0.789943455757232	0.724775329693704	0.07567755601247873	0.8787037365286443	0.8166854261202495	0.9226877127056154
NC_004943-PLAS	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103997-002_L001-Bifidobacterium_longum-scaffolds	0.16365544604925594	0.8759401706284452	1.0	0.5619509637379154	0.8575823589255978	0.8741474692144938	0.28208143876088204	0.8510259976031522	0.9434732667370646	0.8583504143422979	1.0	1.0	0.7807742427681575	0.6995453026116888	0.0736290532622832	0.8480125600660099	0.779612719855863	0.8647977890301949
103997-005_L001-Bifidobacterium_longum-scaffolds	0.1647860174209722	0.9178362401441187	1.0	0.6574900816514069	0.8936489091393391	0.8289061215023781	0.3041203175618208	0.8887781594009739	0.8740834291164967	0.8648955231701454	1.0	0.88285892971594	1.0	0.7141109098680837	0.07315876781045268	0.8899828681967067	0.8027615632394488	0.8864468562340405
NC_011593-REF	0.10089672642960122	0.5797720093704064	0.0001426176984327586	0.350893902316761	0.576547225520943	0.5338526406161085	0.1766186049729803	0.5713649784590793	0.5663062863339767	0.577374690583137	1.0	0.575530544898452	0.5195799273355767	1.0	0.0410608356267483	0.5773958714294388	0.6553664498218691	0.5833392169017505
103997-008_L001-Bifidobacterium_longum-scaffolds	0.4307894416737623	0.8284101690791874	1.0	0.5571925556501642	0.8187179175282813	0.7640724972631067	0.3125459189879577	0.7339691035153875	0.8364870453716093	0.8309305437294733	1.0	0.8349203259944046	0.7336625714633256	0.5659408831042452	1.0	0.7243547013745286	0.6354847342172485	0.8292227222965576
NZ_CP048001	0.1469659862275953	0.875429511093658	1.0	0.5702759039017138	0.8508224699166924	0.8068501760118931	0.2813714026254523	0.8562934770413172	0.8518611855207427	0.8690666110347536	1.0	0.866185818770862	0.803941772320552	0.7168527004852598	0.06524755616953241	1.0	0.7997189770272923	0.8989566386637121
NZ_CP008885	0.12566541280487042	0.7353276602503505	0.0006699983834575706	0.4620308046067831	0.7232523704921747	0.680636119524164	0.2332916633576594	0.72397034108239	0.7207021841060419	0.7429504035913849	1.0	0.7324569872728526	0.6669970970767994	0.7484019006668943	0.05265171411951046	0.7355832432678667	1.0	0.7512217795431192
NZ_CP026999	0.16217988032324643	0.8658279628703655	1.0	0.5527904498677655	0.8398789791337067	0.7905551143277767	0.2703906760844728	0.8411250308025833	0.8325252454379419	0.8800869700106473	1.0	0.8518901902173109	0.772246439263646	0.6984538054240443	0.07203514305290266	0.8669598917608848	0.7876513236340243	1.0
