	103997-007_L001-Bifidobacterium_longum-scaffolds	103997-003_L001-Bifidobacterium_longum-scaffolds	103997-009_L001-Bifidobacterium_longum-scaffolds	103997-006_L001-Bifidobacterium_longum-scaffolds	103997-004_L001-Bifidobacterium_longum-scaffolds	103997-001_L002-Bifidobacterium_longum-scaffolds	103997-010_L001-Bifidobacterium_longum-scaffolds	103997-004_L002-Bifidobacterium_longum-scaffolds	103997-001_L001-Bifidobacterium_longum-scaffolds	NC_004307-REP	NC_004943-PLAS	103997-002_L001-Bifidobacterium_longum-scaffolds	103997-005_L001-Bifidobacterium_longum-scaffolds	NC_011593-REF	103997-008_L001-Bifidobacterium_longum-scaffolds	NZ_CP048001	NZ_CP008885	NZ_CP026999
103997-007_L001-Bifidobacterium_longum-scaffolds	426937.0	373116.0	0.0	269624.0	364900.0	350863.0	144430.0	360154.0	368437.0	381529.0	0.0	381409.0	339637.0	285815.0	88538.0	335327.0	311726.0	383697.0
103997-003_L001-Bifidobacterium_longum-scaffolds	373116.0	2483032.0	0.0	1340555.0	2134848.0	1899323.0	672387.0	2098721.0	2001749.0	1998470.0	0.0	2041432.0	1891733.0	1642348.0	170259.0	1997436.0	1824056.0	2048439.0
103997-009_L001-Bifidobacterium_longum-scaffolds	0.0	0.0	3222.0	0.0	0.0	0.0	1998.0	0.0	0.0	0.0	0.0	0.0	0.0	404.0	0.0	0.0	1662.0	0.0
103997-006_L001-Bifidobacterium_longum-scaffolds	269624.0	1340555.0	0.0	1461985.0	1314840.0	1230247.0	495677.0	1295173.0	1287525.0	1265721.0	0.0	1309661.0	1355139.0	993994.0	114517.0	1301178.0	1146115.0	1307832.0
103997-004_L001-Bifidobacterium_longum-scaffolds	364900.0	2134848.0	0.0	1314840.0	2350897.0	1861751.0	663453.0	2117658.0	1960656.0	1962589.0	0.0	1998648.0	1841881.0	1633213.0	168267.0	1941291.0	1794102.0	1987047.0
103997-001_L002-Bifidobacterium_longum-scaffolds	350863.0	1899323.0	0.0	1230247.0	1861751.0	2108752.0	618697.0	1839731.0	2005131.0	1864072.0	0.0	2037254.0	1708441.0	1512270.0	157036.0	1840961.0	1688388.0	1870353.0
103997-010_L001-Bifidobacterium_longum-scaffolds	144430.0	672387.0	1998.0	495677.0	663453.0	618697.0	737677.0	653892.0	648956.0	641419.0	0.0	657408.0	626816.0	500316.0	64236.0	641995.0	578704.0	639710.0
103997-004_L002-Bifidobacterium_longum-scaffolds	360154.0	2098721.0	0.0	1295173.0	2117658.0	1839731.0	653892.0	2307900.0	1947304.0	1964080.0	0.0	1983368.0	1831842.0	1618533.0	150849.0	1953774.0	1795883.0	1989995.0
103997-001_L001-Bifidobacterium_longum-scaffolds	368437.0	2001749.0	0.0	1287525.0	1960656.0	2005131.0	648956.0	1947304.0	2264169.0	1968887.0	0.0	2198822.0	1801555.0	1604203.0	171919.0	1943661.0	1787776.0	1969649.0
NC_004307-REP	381529.0	1998470.0	0.0	1265721.0	1962589.0	1864072.0	641419.0	1964080.0	1968887.0	2256640.0	0.0	2000438.0	1782618.0	1635557.0	170777.0	1982918.0	1842965.0	2082174.0
NC_004943-PLAS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103997-002_L001-Bifidobacterium_longum-scaffolds	381409.0	2041432.0	0.0	1309661.0	1998648.0	2037254.0	657408.0	1983368.0	2198822.0	2000438.0	0.0	2330561.0	1819642.0	1630333.0	171597.0	1976345.0	1816935.0	2015464.0
103997-005_L001-Bifidobacterium_longum-scaffolds	339637.0	1891733.0	0.0	1355139.0	1841881.0	1708441.0	626816.0	1831842.0	1801555.0	1782618.0	0.0	1819642.0	2061079.0	1471839.0	150786.0	1834325.0	1654555.0	1827037.0
NC_011593-REF	285815.0	1642348.0	404.0	993994.0	1633213.0	1512270.0	500316.0	1618533.0	1604203.0	1635557.0	0.0	1630333.0	1471839.0	2832748.0	116315.0	1635617.0	1856488.0	1652453.0
103997-008_L001-Bifidobacterium_longum-scaffolds	88538.0	170259.0	0.0	114517.0	168267.0	157036.0	64236.0	150849.0	171919.0	170777.0	0.0	171597.0	150786.0	116315.0	205525.0	148873.0	130608.0	170426.0
NZ_CP048001	335327.0	1997436.0	0.0	1301178.0	1941291.0	1840961.0	641995.0	1953774.0	1943661.0	1982918.0	0.0	1976345.0	1834325.0	1635617.0	148873.0	2281664.0	1824690.0	2051117.0
NZ_CP008885	311726.0	1824056.0	1662.0	1146115.0	1794102.0	1688388.0	578704.0	1795883.0	1787776.0	1842965.0	0.0	1816935.0	1654555.0	1856488.0	130608.0	1824690.0	2480603.0	1863483.0
NZ_CP026999	383697.0	2048439.0	0.0	1307832.0	1987047.0	1870353.0	639710.0	1989995.0	1969649.0	2082174.0	0.0	2015464.0	1827037.0	1652453.0	170426.0	2051117.0	1863483.0	2365873.0
